UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  4 17:12 ?        00:00:09 /sbin/init auto noprompt splash
root           2       0  0 17:12 ?        00:00:00 [kthreadd]
root           3       2  0 17:12 ?        00:00:00 [rcu_gp]
root           4       2  0 17:12 ?        00:00:00 [rcu_par_gp]
root           5       2  0 17:12 ?        00:00:00 [slub_flushwq]
root           6       2  0 17:12 ?        00:00:00 [netns]
root           7       2  0 17:12 ?        00:00:00 [kworker/0:0-events]
root           8       2  0 17:12 ?        00:00:00 [kworker/0:0H-kblockd]
root           9       2  2 17:12 ?        00:00:06 [kworker/u256:0-events_unbound]
root          10       2  0 17:12 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 17:12 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 17:12 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 17:12 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 17:12 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 17:12 ?        00:00:00 [rcu_preempt]
root          16       2  0 17:12 ?        00:00:00 [migration/0]
root          17       2  0 17:12 ?        00:00:00 [idle_inject/0]
root          18       2  0 17:12 ?        00:00:00 [kworker/0:1-mm_percpu_wq]
root          19       2  0 17:12 ?        00:00:00 [cpuhp/0]
root          20       2  0 17:12 ?        00:00:00 [cpuhp/1]
root          21       2  0 17:12 ?        00:00:00 [idle_inject/1]
root          22       2  0 17:12 ?        00:00:00 [migration/1]
root          23       2  0 17:12 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 17:12 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root          25       2  0 17:12 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 17:12 ?        00:00:00 [kdevtmpfs]
root          27       2  0 17:12 ?        00:00:00 [inet_frag_wq]
root          28       2  0 17:12 ?        00:00:00 [kauditd]
root          29       2  0 17:12 ?        00:00:00 [kworker/1:1-cgroup_destroy]
root          30       2  0 17:12 ?        00:00:00 [kworker/1:2-rcu_par_gp]
root          31       2  0 17:12 ?        00:00:00 [khungtaskd]
root          32       2  0 17:12 ?        00:00:00 [kworker/u256:1-events_unbound]
root          33       2  0 17:12 ?        00:00:00 [oom_reaper]
root          34       2  0 17:12 ?        00:00:00 [kworker/u256:2-events_unbound]
root          35       2  0 17:12 ?        00:00:00 [writeback]
root          36       2  0 17:12 ?        00:00:00 [kcompactd0]
root          37       2  0 17:12 ?        00:00:00 [ksmd]
root          38       2  0 17:12 ?        00:00:00 [khugepaged]
root          39       2  0 17:12 ?        00:00:00 [kintegrityd]
root          40       2  0 17:12 ?        00:00:00 [kblockd]
root          41       2  0 17:12 ?        00:00:00 [blkcg_punt_bio]
root          42       2  0 17:12 ?        00:00:00 [tpm_dev_wq]
root          43       2  0 17:12 ?        00:00:00 [ata_sff]
